feature1,feature2,class
0.1572169359570831,0.8228045768638997,1
1.0125564803781553,-0.12932482441755416,0
-0.13956921457921181,-0.8094780929757979,1
-0.6687294029438589,-0.3022401507170431,1
0.707469511578116,0.5793085530696945,0
0.3307835460430179,-0.7782352899280787,1
-0.618493397952053,-0.5631781950585487,1
-0.4766370961141102,-0.673023475662739,1
0.13729424731730375,-0.7960608847605622,1
-0.729653681580179,0.7927145110822337,0
-0.27155558307703725,0.6476978455579206,1
-0.7466818877368233,-0.7107056424253704,0
-1.0008725406692531,-0.35383816694164555,0
-0.007501334313222308,-0.9675311790187416,0
0.9794455344301016,-0.3297364440994922,0
-0.49698401668188047,-0.8740430475851098,0
-0.7650494685913847,-0.5630765274677995,0
0.1989707916832294,-0.7350908584264791,1
0.4703591865392601,0.7413318773622093,0
0.6168790016784853,-0.45669675640286045,1
-0.7996970471049644,-0.008744106439686991,1
0.7256783887201543,-0.7253321518304444,0
0.6371478787562013,0.5035922389989314,1
0.2655387199305538,-0.9576667639929649,0
-0.010659483589931809,-0.9291270244042132,0
0.49278616273383136,-0.908767731092302,0
0.5366180134575049,0.7280091448065605,1
-0.7021424054614112,0.32183593935849464,1
0.28671511942858824,0.9736476356466194,0
0.6913706481165733,0.5393772144356748,1
-0.43818149445356336,-0.7213238439898393,1
-0.9916785818226226,0.20252288772378996,0
0.3482400948155942,-0.8783788776916145,0
1.0062910155845715,-0.20316339073321296,0
-1.101686309481971,-0.00707094088768351,0
-0.39364155968937853,0.8350557132673101,0
-0.49374943344048516,0.555528698954666,1
-0.18989819117228124,0.8426211392261678,1
-0.8299549241986512,0.24847929157805448,1
0.6740744191033967,-0.22839496568417333,1
0.9400474279455019,-0.094902617163492,0
0.2355153217133138,0.7473417572800722,1
-0.6751834159474221,0.43511329906864804,1
0.24114786995382226,0.7885887133165469,1
-0.4891287238740401,-0.9826133036799756,0
-0.7360065444325009,-0.464638134152028,1
0.744703414945909,0.6804960780919662,0
-0.5322414507362132,0.6145034290236682,1
-0.7794202133325978,0.4501180456755707,0
-0.8920589162756571,-0.5109575224645314,0
0.6322368891338652,-0.7918257424357061,0
-0.007381112261304237,0.9471620336316999,0
0.8461679166134627,0.18966896818797976,1
-0.835804979197282,-0.16189954627697678,1
-0.15604408585055712,0.8465301203721569,1
0.900347636257334,-0.6820285646810684,0
-0.7734188125407588,0.235320812309739,1
0.8065665291610901,0.40837593381909176,0
-0.26057171505362664,-0.7493693131402636,1
-0.257558998921689,-0.9449216522013971,0
0.8130907163591036,-0.12719810273548943,1
0.16606144828252498,0.9521854013371449,0
0.6146143659519594,-0.5503030564982607,1
-0.462703945767138,-0.5087603085472326,1
-0.8200824936709374,0.6221411407595158,0
0.9835875817383795,0.09161744096862975,0
0.7181458287312168,0.39859591868549726,1
-0.17287795588107638,1.0234270591509769,0
0.6594538548629709,-0.3939087007345765,1
0.6231274450877796,0.8171591510396587,0
-0.7452122535238087,-0.6466778091300985,0
0.42654707694546085,0.6501219742191134,1
0.4887057659154167,-0.6272290011586557,1
-0.9865669020260526,-0.3925431975851333,0
0.805364777929614,0.16826061975851628,1
0.929610911770697,0.23210554564706232,0
-0.7853941841500973,0.0753885201189354,1
-1.0083177272718058,0.14359272537458245,0
-0.7740768573555763,0.6427514927489553,0
-0.9615687908953973,-0.11424651158785473,0
-0.4611503700545629,0.8521177538909537,0
0.003655658780525227,1.0406015013102379,0
0.7946552062369632,-0.5608906811243107,0
0.7624045375014542,-0.21891201840527577,1
0.8417532972513637,0.061453925218146216,1
0.869665848314009,0.33055394924853554,0
0.45995711746992657,0.8478942758687583,0
0.027902192137175978,0.7920771774450731,1
-0.12283217399383102,-0.7900019550641606,1
0.15039482021021605,-0.8561265837054204,1
0.028887959222741677,0.842304068038014,1
-0.1976649261345333,-0.7176153987501318,1
0.5069772822288838,-0.8077137745306974,0
-0.40888020708891376,0.663926422950654,1
-0.2688405237584937,-0.9997962022022443,0
-0.9563687580457119,0.4043730872068659,0
0.693306956523087,0.36356096511617647,1
0.4417578736068161,-0.728479660216297,1
-0.8736491677969536,-0.08504124307854787,1
-0.2531361161205902,0.9536872264884112,0
