feat01,feat02
9.351832107925352,-8.999921175112691
6.222947622411278,-9.259315435667062
1.0533274845274043,7.100557710552047
-0.14533538076214558,3.5080660001182813
8.6282184728027,10.21052009579014
5.439287158137019,-10.108761644590794
-1.8519997629641392,6.837879639798076
6.112303255708898,-8.249548174320926
6.224623357336572,-2.43005902067868
5.824537752614773,-11.013387057593981
4.36842270749539,4.5338168775911765
5.72386051284065,-5.390971881531244
2.0255950215339427,7.9432950232705535
6.725491435195713,-5.975848891375334
7.290420787006361,-11.74521769496866
9.857075693179114,7.728454463303525
7.407107519013859,-10.637576687131585
6.627042830091964,-10.597858024068563
4.624461299314214,-11.232888055128406
-0.46243291401780473,2.5820511977555034
1.5854671490585857,4.610360577286571
5.199638913673475,5.586820042754672
2.016606229841787,-9.179550377466063
6.05932015785514,2.882647559357092
5.811513268950301,0.7204095631020522
2.336147284943028,3.889536309345516
9.880023870844667,-12.824375670167798
-0.5067719766388024,-14.815077900508692
2.531215853784629,-6.5001387788638585
0.790211989001115,-9.610112562597537
2.5952486880769494,5.843360262184041
3.63103396179918,6.358786355787391
2.4295981470746697,3.3881894077737718
0.25919127171564416,4.337984734640701
3.6172260349607086,12.379030820076045
1.655543960335204,5.912587459711903
8.79748662556319,-4.567094372888487
1.9764179306932352,3.4708909519876343
4.612668901437576,-7.745348458233053
9.195829656600386,-11.780869518815594
